region,per_capita,child_mortality/newborn,disabled/population,morbidity,poverty_percent,welfare/population,poverty: children,poverty: retired,poverty: employable,housing: bad condition,housing: area,housing: n_room,population,gross/population,region_prod/population,retail,newborn/population,budget/population,part children,part retired
Тверская область,27681.0,0.447,7.58,86566.6,11.4,1674.7,31.0,3.8,65.1,12.7,27.2,2.2,1260379.0,391722.2,704.41,199736.0,0.8,74431.0,16.6,29.0
Томская область,28857.0,0.453,5.757,70726.0,14.4,1920.73,42.2,3.6,54.2,10.5,25.7,2.3,1079271.0,518179.5,657.71,162359.0,0.92,81733.0,18.8,22.5
Тульская область,29385.0,0.592,9.838,72165.3,10.1,1788.41,38.8,5.3,56.0,13.5,23.6,2.3,1466127.0,486544.2,1271.67,205652.0,0.74,76756.0,14.8,30.2
"Тыва, республика",18972.0,0.547,6.372,60756.5,31.7,3508.43,45.0,2.6,52.4,19.8,18.8,2.8,327383.0,251799.9,142.29,76921.0,2.01,147413.0,34.4,11.1
Тюменская область,31151.0,0.832,6.003,64208.6,13.6,2736.86,37.9,7.5,54.7,15.7,23.8,2.5,1537416.0,757076.0,1186.78,268215.0,1.22,124971.0,21.1,21.4
Удмуртская республика,25449.0,0.433,6.818,99088.4,11.9,1502.24,49.9,2.7,47.5,13.3,20.8,2.4,1500955.0,451490.9,774.94,160085.0,0.97,65032.0,20.4,24.2
Ульяновская область,24590.0,0.416,8.888,87077.9,15.0,1669.03,38.4,3.1,58.5,11.3,25.7,2.4,1229824.0,360112.2,530.43,165299.0,0.84,65970.0,16.2,28.2
Хабаровский край,41740.0,0.422,4.991,67303.6,12.0,2944.73,32.7,6.4,60.9,15.5,23.3,2.2,1315643.0,658239.5,762.88,277942.0,1.04,114581.0,18.4,22.7
"Хакасия, республика",23837.0,0.392,5.068,86026.5,18.5,1948.54,43.2,2.4,54.3,17.0,25.0,2.6,534262.0,500422.8,887.35,175577.0,1.0,80852.0,21.7,22.9
Ханты-Мансийский АО - Югра,54443.0,0.364,3.164,90676.1,8.4,3061.99,55.6,1.6,42.9,15.4,22.2,2.1,1674676.0,1994630.3,4139.88,258117.0,1.23,193797.0,23.0,14.8
Челябинская область,26628.0,0.4,6.283,88428.4,12.6,1679.79,40.6,6.0,53.4,16.5,23.6,2.2,3466369.0,467537.3,991.57,173367.0,0.96,69127.0,19.2,25.3
Чеченская республика,24596.0,0.601,11.486,52150.1,20.4,3016.99,43.7,6.2,50.1,18.2,24.6,4.3,1478726.0,171029.5,58.82,123955.0,2.04,85954.0,34.2,10.0
Чувашская республика,21155.0,0.212,6.265,93394.5,16.8,1566.48,22.2,4.2,73.6,20.0,20.7,2.3,1217818.0,287210.3,415.55,141564.0,0.93,62911.0,19.0,24.4
Чукотский АО,89541.0,1.49,3.244,128506.5,8.0,6915.1,46.9,2.7,50.4,17.7,22.5,1.7,50288.0,2404271.2,5195.72,217089.0,1.07,1080485.0,22.9,13.9
Ямало-Ненецкий АО,89928.0,0.353,2.526,118256.9,4.8,5246.97,51.0,0.7,48.4,15.2,21.8,2.1,544444.0,5072483.6,10037.07,263114.0,1.3,416426.0,24.1,10.8
Ярославская область,29514.0,0.378,7.867,89949.9,9.9,1800.15,31.9,2.3,65.8,20.5,23.3,2.2,1253389.0,495102.2,765.19,204406.0,0.84,76602.0,17.0,28.2
