2014,Кировская область,26.5
2014,Костромская область,26.0
2014,Краснодарский край,24.7
2014,Красноярский край,21.1
2014,Крым,
2014,Курганская область,26.7
2014,Курская область,26.9
2014,Ленинградская область,26.1
2014,Липецкая область,26.3
2014,Магаданская область,19.0
2014,Марий Эл,22.7
2014,Мордовия,25.3
2014,Москва,25.1
2014,Московская область,24.1
2014,Мурманская область,20.1
2014,Ненецкий автономный округ,15.8
2014,Нижегородская область,26.2
2014,Новгородская область,27.7
2014,Новосибирская область,23.4
2014,Омская область,22.6
2014,Оренбургская область,22.8
2014,Орловская область,27.1
2014,Пензенская область,27.4
2014,Пермский край,23.0
2014,Приморский край,23.0
2014,Псковская область,28.0
2014,Республика Алтай,16.3
2014,Республика Коми,19.7
2014,Республика Тыва,10.3
2014,Ростовская область,25.4
2014,Рязанская область,28.5
2014,Самарская область,25.3
2014,Санкт-Петербург,25.7
2014,Саратовская область,25.7
2014,Сахалинская область,21.5
2014,Свердловская область,24.2
2014,Севастополь,
2014,Северная Осетия,21.7
2014,Смоленская область,26.3
2014,Ставропольский край,22.7
2014,Тамбовская область,28.1
2014,Татарстан,22.7
2014,Тверская область,27.7
2014,Томская область,21.0
2014,Тульская область,29.1
2014,Тюменская область,20.1
2014,Удмуртия,22.2
2014,Ульяновская область,26.1
2014,Хабаровский край,21.8
2014,Хакасия,21.4
2014,Ханты-Мансийский автономный округ,12.4
2014,Челябинская область,24.0
2014,Чечня,8.9
2014,Чувашия,22.7
2014,Чукотский автономный округ,11.9
2014,Якутия,14.5
2014,Ямало-Ненецкий автономный округ,8.7
2014,Ярославская область,27.3
2015,Адыгея,24.5
2015,Алтайский край,25.3
2015,Амурская область,21.7
2015,Архангельская область,33.0
2015,Астраханская область,22.7
2015,Башкортостан,22.2
2015,Белгородская область,26.1
2015,Брянская область,26.3
2015,Бурятия,18.7
2015,Владимирская область,27.9
2015,Волгоградская область,26.0
2015,Вологодская область,24.8
2015,Воронежская область,27.7
2015,Дагестан,12.2
2015,Еврейская автономная область,21.6
2015,Забайкальский край,19.1
2015,Ивановская область,27.6
2015,Ингушетия,10.5
2015,Иркутская область,21.6
2015,Кабардино-Балкария,18.5
2015,Калининградская область,24.1
2015,Калмыкия,19.4
2015,Калужская область,26.8
2015,Камчатский край,19.3
2015,Карачаево-Черкесия,20.1
2015,Карелия,25.4
2015,Кемеровская область,24.0
2015,Кировская область,27.3
2015,Костромская область,26.5
2015,Краснодарский край,25.1
2015,Красноярский край,21.6
2015,Крым,27.0
2015,Курганская область,27.3
2015,Курская область,27.4
2015,Ленинградская область,26.6
2015,Липецкая область,26.9
2015,Магаданская область,19.7
2015,Марий Эл,23.4
2015,Мордовия,26.0
2015,Москва,25.6
2015,Московская область,24.3
2015,Мурманская область,20.7
2015,Ненецкий автономный округ,22.6
2015,Нижегородская область,26.7
2015,Новгородская область,28.2
2015,Новосибирская область,23.8
2015,Омская область,23.2
2015,Оренбургская область,23.4
2015,Орловская область,27.7
2015,Пензенская область,27.9
2015,Пермский край,23.5
2015,Приморский край,23.5
2015,Псковская область,28.5
2015,Республика Алтай,16.8
2015,Республика Коми,20.4
2015,Республика Тыва,10.6
2015,Ростовская область,25.8
2015,Рязанская область,29.0
2015,Самарская область,25.8
2015,Санкт-Петербург,26.0
2015,Саратовская область,26.2
2015,Сахалинская область,22.2
2015,Свердловская область,24.6
2015,Севастополь,27.5
2015,Северная Осетия,22.0
2015,Смоленская область,26.8
2015,Ставропольский край,23.1
2015,Тамбовская область,28.6
2015,Татарстан,23.2
2015,Тверская область,28.2
2015,Томская область,21.5
2015,Тульская область,29.5
2015,Тюменская область,27.1
2015,Удмуртия,22.9
2015,Ульяновская область,26.8
2015,Хабаровский край,22.1
2015,Хакасия,21.9
2015,Ханты-Мансийский автономный округ,17.5
2015,Челябинская область,24.5
2015,Чечня,9.2
2015,Чувашия,23.3
2015,Чукотский автономный округ,12.5
2015,Якутия,15.1
2015,Ямало-Ненецкий автономный округ,13.0
2015,Ярославская область,27.6
2016,Адыгея,25.0
2016,Алтайский край,26.0
2016,Амурская область,22.2
2016,Архангельская область,25.6
2016,Астраханская область,23.2
2016,Башкортостан,22.8
2016,Белгородская область,26.6
2016,Брянская область,26.9
2016,Бурятия,19.2
2016,Владимирская область,28.5
2016,Волгоградская область,26.5
2016,Вологодская область,25.4
2016,Воронежская область,28.1
2016,Дагестан,12.8
2016,Еврейская автономная область,22.1
2016,Забайкальский край,19.6
2016,Ивановская область,28.1
2016,Ингушетия,11.3
2016,Иркутская область,22.0
2016,Кабардино-Балкария,19.1
2016,Калининградская область,24.6
2016,Калмыкия,20.3
2016,Калужская область,27.3
2016,Камчатский край,19.8
2016,Карачаево-Черкесия,20.9
2016,Карелия,26.0
2016,Кемеровская область,24.6
