region,per_capita,disabled/population,poverty_percent,housing: n_room,population,gross/population,retail,newborn/population,part children,part retired
Рязанская область,0.2877213655104205,11.581,2.5494451709255714,0.32574931136717744,0.569583482419586,0.2960346258136206,0.6488294640084264,0.10116967138115276,0.06232882237241455,0.9909673085018107
Самарская область,0.3416933107204727,6.517,2.509599262378372,0.32574931136717744,0.7556686382115905,0.352048255013917,0.6878016461776122,0.2139456590218631,0.17097659305122725,0.8885522753837525
Санкт-Петербург,0.6395979076439566,10.394,1.7749523509116738,0.19961052858939188,0.8491704550050587,0.5336246517760479,0.8247373392335673,0.36109275288568893,0.02376204632042933,0.8885522753837525
Саратовская область,0.21159876019525115,5.57,2.6946271807700692,0.3643113049039751,0.7075874607877057,0.25681707364085105,0.5643891273874084,0.08910618386905503,0.14297095359472944,0.9053387881370538
"Саха (Якутия), республика",0.6036914744660988,5.466,2.8507065015037334,0.2435550874804171,0.5463144176630015,0.5849217487703244,0.7657851032390317,0.6000738904885548,0.6151382965373995,0.4475848760105885
Сахалинская область,0.7657503820753382,4.405,2.0412203288596382,0.19961052858939188,0.42468936064919016,0.7423761637467483,0.9101246026153431,0.4641224742423521,0.3141142508186294,0.7575140010518626
Свердловская область,0.4751919637078874,6.265,2.1972245773362196,0.2435550874804171,0.8094340776513358,0.39438885449078986,0.7830501137071444,0.35197163360624667,0.3079722980193029,0.8469464585853839
Севастополь,0.3429716174841895,4.547,2.3978952727983707,0.2435550874804171,0.4099370397343438,0.20297134752386237,0.4913369421738123,0.2756102452995443,0.135864096393433,0.9020063089234442
Северная Осетия - Алания,0.20863345037237035,8.453,2.631888840136646,0.5675136160101697,0.48752536326195295,0.175831458958025,0.5608928268074793,0.4802419651250882,0.4139001539232505,0.7456868119351476
Смоленская область,0.30582727766353734,7.834,2.747270914255491,0.2855458966287848,0.5394385247175724,0.2775578963338101,0.6231756510206035,0.0,0.06232882237241455,0.9315657573355898
Ставропольский край,0.208233628925508,7.479,2.624668592163159,0.47136584943814797,0.7334391544589087,0.21509123262079477,0.6227584363096845,0.31457035381483456,0.27677202593225614,0.7920952963081347
Тамбовская область,0.30021715751153355,10.659,2.379546134130174,0.3643113049039751,0.5525199320673673,0.27187802694178664,0.6534167757125671,0.05195266009089938,0.02376204632042933,0.9909673085018107
"Татарстан, республика",0.4467129833715422,7.163,1.8870696490323797,0.3643113049039751,0.7918787871694513,0.4328421444280477,0.7415604057947824,0.39671257765913204,0.30179810385024686,0.80333478349861
Тверская область,0.295742662085722,7.58,2.4336133554004498,0.2435550874804171,0.5922108505130301,0.2814474423291897,0.6569180506888959,0.12483947515280819,0.14297095359472944,0.9633152284220889
Томская область,0.3206111068581441,5.757,2.667228206581955,0.2855458966287848,0.5648077708827708,0.3591525814644587,0.5576306405937794,0.2555039368162416,0.28935162486463106,0.7337029667564647
Тульская область,0.33144859518214265,9.838,2.312535423847214,0.2855458966287848,0.6189223649593958,0.34165615472359745,0.6709058922388538,0.05195266009089938,0.00797414097292215,1.0
"Тыва, республика",0.06993928937517957,6.372,3.456316680883235,0.47136584943814797,0.3540804967975639,0.15870568041112199,0.1996403647329279,0.9861492679930219,1.0,0.09442150671287974
Тюменская область,0.3663320369212917,6.003,2.6100697927420065,0.3643113049039751,0.6273094911836241,0.46445838330086175,0.7981877062559031,0.5193651341292459,0.42510196514904086,0.6883520711463675
Удмуртская республика,0.2454934610569648,6.818,2.4765384001174837,0.32574931136717744,0.6230696307707293,0.32088825553344114,0.5508712747156332,0.3049814768278553,0.3854197966110684,0.7996037799284372
Ульяновская область,0.2249702027862961,8.888,2.70805020110221,0.32574931136717744,0.5878756192509307,0.25807851017436345,0.5662306871921228,0.17045375631782494,0.11428218283496827,0.9380054078916817
Хабаровский край,0.5412295143715227,4.991,2.4849066497880004,0.2435550874804171,0.5997914285948835,0.4256029246799664,0.8152591374000888,0.3701257440309704,0.26405642870079626,0.7417098073619002
"Хакасия, республика",0.2063809678190749,5.068,2.917770732084279,0.401360667751128,0.4405956868791534,0.34946797287263287,0.5951379149543179,0.3334580125789187,0.458081171128085,0.7496464116186963
Ханты-Мансийский АО - Югра,0.7000371853403271,3.164,2.128231705849268,0.19961052858939188,0.6424159792826638,0.7335265679836565,0.7797972933422326,0.5269970729241015,0.5265136983675811,0.3547067764187659
Челябинская область,0.27256177250851277,6.283,2.533696813957432,0.2435550874804171,0.770926515750151,0.33058829239933685,0.5890676878444792,0.295293231470633,0.3141142508186294,0.8398222715120265
Чеченская республика,0.22511602673332742,11.486,3.0155349008501706,0.8766112560315273,0.620433899383033,0.051273239174415064,0.4282940100880195,0.9999999999999999,0.9931417806367149,0.0
Чувашская республика,0.135036914246359,6.265,2.8213788864092133,0.2855458966287848,0.5861426260351463,0.19525171625532334,0.49195004897676675,0.2656111413158333,0.30179810385024686,0.8070504646290315
Чукотский АО,0.997422247021774,3.244,2.0794415416798357,0.0,0.023151233941618,0.7854065341875027,0.6968420917353741,0.39671257765913204,0.5213887173250851,0.2979431909318482
Ямало-Ненецкий АО,1.0,2.526,1.5686159179138452,0.19961052858939188,0.44393061005675016,0.992768451574428,0.7889860132270625,0.578744281457081,0.5814620942189497,0.06963181674214525
Ярославская область,0.3340667877486485,7.867,2.2925347571405443,0.2435550874804171,0.5912284331286493,0.34649909013455016,0.6679935883889803,0.17045375631782494,0.17097659305122725,0.9380054078916817
